cell_line_name,drug_name,putative_target,ln_ic50,cell_line_encoded,drug_encoded
TE-5,AZD8055,"MTORC1, MTORC2",-0.728354,911,17
HCC1395,AZD8055,"MTORC1, MTORC2",-0.32959,259,17
CADO-ES1,AZD8055,"MTORC1, MTORC2",-0.866509,76,17
DSH1,AZD8055,"MTORC1, MTORC2",-0.083569,171,17
EC-GI-10,AZD8055,"MTORC1, MTORC2",-0.553965,182,17
EPLC-272H,AZD8055,"MTORC1, MTORC2",-1.212572,195,17
HO-1-u-1,AZD8055,"MTORC1, MTORC2",-1.080129,287,17
HSC-2,AZD8055,"MTORC1, MTORC2",-1.699111,293,17
IM-9,AZD8055,"MTORC1, MTORC2",-1.563448,330,17
J82,AZD8055,"MTORC1, MTORC2",-0.004829,338,17
KP-4,AZD8055,"MTORC1, MTORC2",-0.523463,398,17
KYSE-140,AZD8055,"MTORC1, MTORC2",-0.601737,409,17
KYSE-410,AZD8055,"MTORC1, MTORC2",0.218658,414,17
KYSE-520,AZD8055,"MTORC1, MTORC2",0.326188,418,17
LB996-RCC,AZD8055,"MTORC1, MTORC2",-1.367327,433,17
LXF-289,AZD8055,"MTORC1, MTORC2",-0.568213,460,17
PC-14,AZD8055,"MTORC1, MTORC2",-0.514314,725,17
SBC-3,AZD8055,"MTORC1, MTORC2",-0.547531,784,17
TE-15,AZD8055,"MTORC1, MTORC2",-0.266499,908,17
PC-3,AZD8055,"MTORC1, MTORC2",-0.519675,726,17
HCT-116,AZD8055,"MTORC1, MTORC2",-0.697526,275,17
HCT-15,AZD8055,"MTORC1, MTORC2",-1.133969,276,17
T47D,AZD8055,"MTORC1, MTORC2",-0.497457,897,17
MCF7,AZD8055,"MTORC1, MTORC2",-0.780754,466,17
786-0,AZD8055,"MTORC1, MTORC2",-0.332735,9,17
A498,AZD8055,"MTORC1, MTORC2",-1.391265,25,17
A549,AZD8055,"MTORC1, MTORC2",-2.504726,26,17
ACHN,AZD8055,"MTORC1, MTORC2",-0.662743,30,17
BT-549,AZD8055,"MTORC1, MTORC2",-0.651979,66,17
Hs-578-T,AZD8055,"MTORC1, MTORC2",-1.745256,311,17
SK-OV-3,AZD8055,"MTORC1, MTORC2",0.05746,826,17
MDA-MB-231,AZD8055,"MTORC1, MTORC2",-0.713686,469,17
COLO-205,AZD8055,"MTORC1, MTORC2",-0.94614,109,17
RPMI-8226,AZD8055,"MTORC1, MTORC2",-1.783112,771,17
SR,AZD8055,"MTORC1, MTORC2",-2.154451,853,17
NCI-H322M,AZD8055,"MTORC1, MTORC2",-0.445241,630,17
IGROV-1,AZD8055,"MTORC1, MTORC2",-1.76071,328,17
OVCAR-5,AZD8055,"MTORC1, MTORC2",-0.677101,706,17
LOXIMVI,AZD8055,"MTORC1, MTORC2",-1.126169,447,17
UACC-62,AZD8055,"MTORC1, MTORC2",-1.627079,938,17
TK10,AZD8055,"MTORC1, MTORC2",-0.20915,921,17
SF539,AZD8055,"MTORC1, MTORC2",-0.980344,796,17
KM12,AZD8055,"MTORC1, MTORC2",-1.638297,382,17
Becker,AZD8055,"MTORC1, MTORC2",-0.366493,68,17
ARH-77,AZD8055,"MTORC1, MTORC2",-2.172335,37,17
AGS,AZD8055,"MTORC1, MTORC2",-1.44899,31,17
A2058,AZD8055,"MTORC1, MTORC2",-1.242283,16,17
A375,AZD8055,"MTORC1, MTORC2",-0.30882,20,17
697,AZD8055,"MTORC1, MTORC2",-2.235896,7,17
A2780,AZD8055,"MTORC1, MTORC2",-2.655976,18,17
COR-L105,AZD8055,"MTORC1, MTORC2",-0.867846,121,17
COLO-792,AZD8055,"MTORC1, MTORC2",-0.43341,117,17
COLO-679,AZD8055,"MTORC1, MTORC2",-0.19422,113,17
CHP-212,AZD8055,"MTORC1, MTORC2",-0.320407,103,17
CFPAC-1,AZD8055,"MTORC1, MTORC2",-1.186954,98,17
CAL-120,AZD8055,"MTORC1, MTORC2",-1.874089,78,17
CAL-72,AZD8055,"MTORC1, MTORC2",-1.359596,88,17
CAL-62,AZD8055,"MTORC1, MTORC2",-0.361937,87,17
Daudi,AZD8055,"MTORC1, MTORC2",-0.982543,175,17
DB,AZD8055,"MTORC1, MTORC2",-1.343554,157,17
Daoy,AZD8055,"MTORC1, MTORC2",-0.820063,174,17
DEL,AZD8055,"MTORC1, MTORC2",-1.45568,159,17
Detroit562,AZD8055,"MTORC1, MTORC2",-1.002682,176,17
DG-75,AZD8055,"MTORC1, MTORC2",-0.664413,160,17
EB2,AZD8055,"MTORC1, MTORC2",-1.728762,180,17
EB-3,AZD8055,"MTORC1, MTORC2",-1.122214,179,17
ETK-1,AZD8055,"MTORC1, MTORC2",-1.320823,206,17
EVSA-T,AZD8055,"MTORC1, MTORC2",-1.259642,207,17
FTC-133,AZD8055,"MTORC1, MTORC2",-0.799365,221,17
GAMG,AZD8055,"MTORC1, MTORC2",-1.570766,232,17
GCIY,AZD8055,"MTORC1, MTORC2",-1.00094,234,17
GDM-1,AZD8055,"MTORC1, MTORC2",-1.27709,236,17
GI-1,AZD8055,"MTORC1, MTORC2",-0.871753,237,17
GI-ME-N,AZD8055,"MTORC1, MTORC2",0.119426,238,17
GR-ST,AZD8055,"MTORC1, MTORC2",-1.568264,241,17
ESS-1,AZD8055,"MTORC1, MTORC2",-0.84516,205,17
H4,AZD8055,"MTORC1, MTORC2",-1.438251,245,17
H9,AZD8055,"MTORC1, MTORC2",-1.373479,246,17
HCC70,AZD8055,"MTORC1, MTORC2",-0.794333,273,17
HGC-27,AZD8055,"MTORC1, MTORC2",-1.927513,281,17
HH,AZD8055,"MTORC1, MTORC2",-1.390435,282,17
HLE,AZD8055,"MTORC1, MTORC2",-0.748285,284,17
HuCCT1,AZD8055,"MTORC1, MTORC2",-1.035443,318,17
HuO9,AZD8055,"MTORC1, MTORC2",-0.470713,321,17
IST-MEL1,AZD8055,"MTORC1, MTORC2",-1.575827,334,17
JiyoyeP-2003,AZD8055,"MTORC1, MTORC2",-2.389178,360,17
JVM-2,AZD8055,"MTORC1, MTORC2",-2.216499,358,17
JVM-3,AZD8055,"MTORC1, MTORC2",-1.967232,359,17
KALS-1,AZD8055,"MTORC1, MTORC2",-0.856549,365,17
KARPAS-299,AZD8055,"MTORC1, MTORC2",-1.637948,368,17
KARPAS-422,AZD8055,"MTORC1, MTORC2",-1.337582,369,17
KE-37,AZD8055,"MTORC1, MTORC2",-1.462654,375,17
KINGS-1,AZD8055,"MTORC1, MTORC2",-0.311672,379,17
KMOE-2,AZD8055,"MTORC1, MTORC2",-0.915469,384,17
KMS-12-BM,AZD8055,"MTORC1, MTORC2",-1.462632,388,17
HT55,AZD8055,"MTORC1, MTORC2",-1.00268,305,17
H-EMC-SS,AZD8055,"MTORC1, MTORC2",0.097335,243,17
G-402,AZD8055,"MTORC1, MTORC2",-2.283671,228,17
G-401,AZD8055,"MTORC1, MTORC2",-1.403232,227,17
KU812,AZD8055,"MTORC1, MTORC2",-1.151703,404,17
KS-1,AZD8055,"MTORC1, MTORC2",-0.155106,402,17
KYSE-150,AZD8055,"MTORC1, MTORC2",-0.617141,410,17
KYSE-450,AZD8055,"MTORC1, MTORC2",-0.238892,415,17
L-428,AZD8055,"MTORC1, MTORC2",-0.625543,422,17
LAMA-84,AZD8055,"MTORC1, MTORC2",-0.772768,424,17
LNCaP-Clone-FGC,AZD8055,"MTORC1, MTORC2",-2.538521,443,17
LoVo,AZD8055,"MTORC1, MTORC2",-2.430865,461,17
LS-123,AZD8055,"MTORC1, MTORC2",-1.044148,450,17
LS-411N,AZD8055,"MTORC1, MTORC2",-0.965938,452,17
LU-99A,AZD8055,"MTORC1, MTORC2",0.34157,459,17
MDA-MB-175-VII,AZD8055,"MTORC1, MTORC2",0.293543,468,17
MDA-MB-361,AZD8055,"MTORC1, MTORC2",-1.079435,471,17
MDA-MB-453,AZD8055,"MTORC1, MTORC2",-2.041661,474,17
MDA-MB-468,AZD8055,"MTORC1, MTORC2",-1.238411,475,17
MEG-01,AZD8055,"MTORC1, MTORC2",-0.871161,479,17
MES-SA,AZD8055,"MTORC1, MTORC2",-1.182729,482,17
MFE-280,AZD8055,"MTORC1, MTORC2",-0.605577,483,17
MG-63,AZD8055,"MTORC1, MTORC2",-0.914518,488,17
MHH-CALL-2,AZD8055,"MTORC1, MTORC2",-0.769869,489,17
MHH-ES-1,AZD8055,"MTORC1, MTORC2",-0.908469,491,17
MHH-PREB-1,AZD8055,"MTORC1, MTORC2",-1.501411,493,17
MKN1,AZD8055,"MTORC1, MTORC2",-0.745916,495,17
ML-2,AZD8055,"MTORC1, MTORC2",-1.01464,500,17
MOG-G-CCM,AZD8055,"MTORC1, MTORC2",-1.050025,505,17
MOG-G-UVW,AZD8055,"MTORC1, MTORC2",-1.40808,506,17
MONO-MAC-6,AZD8055,"MTORC1, MTORC2",-0.517677,513,17
MPP-89,AZD8055,"MTORC1, MTORC2",-0.391914,514,17
MV-4-11,AZD8055,"MTORC1, MTORC2",-2.705702,519,17
NALM-6,AZD8055,"MTORC1, MTORC2",-0.573724,526,17
NB69,AZD8055,"MTORC1, MTORC2",-1.694217,538,17
NCI-H508,AZD8055,"MTORC1, MTORC2",-0.839009,636,17
NCI-H520,AZD8055,"MTORC1, MTORC2",-1.905257,639,17
SNU-5,AZD8055,"MTORC1, MTORC2",-0.782781,847,17
NH-12,AZD8055,"MTORC1, MTORC2",-0.638106,665,17
NKM-1,AZD8055,"MTORC1, MTORC2",-0.875923,667,17
NTERA-2-cl-D1,AZD8055,"MTORC1, MTORC2",-1.663132,671,17
NUGC-3,AZD8055,"MTORC1, MTORC2",-1.425123,673,17
NCI-H747,AZD8055,"MTORC1, MTORC2",-0.914726,654,17
NCI-H716,AZD8055,"MTORC1, MTORC2",-0.170479,650,17
NCI-H2452,AZD8055,"MTORC1, MTORC2",-0.787314,612,17
NCI-H1793,AZD8055,"MTORC1, MTORC2",0.320035,572,17
NCI-H358,AZD8055,"MTORC1, MTORC2",-0.785321,632,17
NCI-H1581,AZD8055,"MTORC1, MTORC2",-0.641935,557,17
NCI-H1703,AZD8055,"MTORC1, MTORC2",-0.443722,566,17
NCI-H1755,AZD8055,"MTORC1, MTORC2",-0.903714,568,17
NCI-H1993,AZD8055,"MTORC1, MTORC2",-1.259558,582,17
ONS-76,AZD8055,"MTORC1, MTORC2",-1.619091,693,17
OPM-2,AZD8055,"MTORC1, MTORC2",-2.232033,694,17
PA-1,AZD8055,"MTORC1, MTORC2",-2.156304,717,17
OC-314,AZD8055,"MTORC1, MTORC2",-1.081702,680,17
RKO,AZD8055,"MTORC1, MTORC2",-0.804171,763,17
RMG-I,AZD8055,"MTORC1, MTORC2",0.317891,766,17
RPMI-6666,AZD8055,"MTORC1, MTORC2",-2.080235,769,17
RPMI-8402,AZD8055,"MTORC1, MTORC2",-0.69672,772,17
RT-112,AZD8055,"MTORC1, MTORC2",-0.175681,775,17
SH-4,AZD8055,"MTORC1, MTORC2",-0.765607,797,17
SJSA-1,AZD8055,"MTORC1, MTORC2",-0.802283,803,17
SK-HEP-1,AZD8055,"MTORC1, MTORC2",-0.477783,808,17
SK-LMS-1,AZD8055,"MTORC1, MTORC2",-0.784991,809,17
SK-MES-1,AZD8055,"MTORC1, MTORC2",-0.506179,819,17
SK-MG-1,AZD8055,"MTORC1, MTORC2",-0.426127,820,17
SK-PN-DW,AZD8055,"MTORC1, MTORC2",-1.166942,827,17
SNU-423,AZD8055,"MTORC1, MTORC2",-1.004596,845,17
SNU-449,AZD8055,"MTORC1, MTORC2",-0.13104,846,17
SUP-T1,AZD8055,"MTORC1, MTORC2",-0.7123,869,17
SW13,AZD8055,"MTORC1, MTORC2",-0.732177,873,17
SW1088,AZD8055,"MTORC1, MTORC2",-1.171812,870,17
SW1417,AZD8055,"MTORC1, MTORC2",0.338951,874,17
SW1783,AZD8055,"MTORC1, MTORC2",-1.692825,879,17
SW48,AZD8055,"MTORC1, MTORC2",-1.227965,881,17
SW626,AZD8055,"MTORC1, MTORC2",0.560375,883,17
SW684,AZD8055,"MTORC1, MTORC2",0.232167,884,17
SW948,AZD8055,"MTORC1, MTORC2",-1.32018,889,17
SW982,AZD8055,"MTORC1, MTORC2",-0.624119,892,17
TUR,AZD8055,"MTORC1, MTORC2",-0.732179,927,17
TYK-nu,AZD8055,"MTORC1, MTORC2",-0.84818,928,17
U-698-M,AZD8055,"MTORC1, MTORC2",-1.91309,932,17
UACC-893,AZD8055,"MTORC1, MTORC2",-1.946452,940,17
UMC-11,AZD8055,"MTORC1, MTORC2",-0.290457,942,17
WM-115,AZD8055,"MTORC1, MTORC2",-0.523237,952,17
YH-13,AZD8055,"MTORC1, MTORC2",-1.538005,960,17
RCC10RGB,AZD8055,"MTORC1, MTORC2",0.030747,749,17
HuO-3N1,AZD8055,"MTORC1, MTORC2",-0.151104,320,17
Ramos-2G6-4C10,AZD8055,"MTORC1, MTORC2",-2.007864,780,17
RPMI-8866,AZD8055,"MTORC1, MTORC2",-2.028555,773,17
OAW-42,AZD8055,"MTORC1, MTORC2",-1.929608,679,17
OE33,AZD8055,"MTORC1, MTORC2",-0.009578,691,17
ATN-1,AZD8055,"MTORC1, MTORC2",-2.587942,39,17
CESS,AZD8055,"MTORC1, MTORC2",-1.800966,97,17
COLO-684,AZD8055,"MTORC1, MTORC2",-1.169414,115,17
TGBC24TKB,AZD8055,"MTORC1, MTORC2",-0.600593,917,17
BFTC-909,AZD8055,"MTORC1, MTORC2",-2.247425,53,17
CA46,AZD8055,"MTORC1, MTORC2",-0.267243,75,17
AU565,AZD8055,"MTORC1, MTORC2",-0.618275,40,17
BV-173,AZD8055,"MTORC1, MTORC2",-1.58327,67,17
AN3-CA,AZD8055,"MTORC1, MTORC2",-1.309203,36,17
A204,AZD8055,"MTORC1, MTORC2",-0.608736,15,17
CHL-1,AZD8055,"MTORC1, MTORC2",-0.770141,100,17
RPMI-7951,AZD8055,"MTORC1, MTORC2",-1.854668,770,17
SCC-4,AZD8055,"MTORC1, MTORC2",-1.332713,789,17
UACC-812,AZD8055,"MTORC1, MTORC2",-0.553963,939,17
SCC-15,AZD8055,"MTORC1, MTORC2",-0.347908,786,17
BC-1,AZD8055,"MTORC1, MTORC2",-2.437279,47,17
A101D,AZD8055,"MTORC1, MTORC2",-1.267503,13,17
769-P,AZD8055,"MTORC1, MTORC2",-1.397966,8,17
BFTC-905,AZD8055,"MTORC1, MTORC2",-0.758903,52,17
SCC-3,AZD8055,"MTORC1, MTORC2",-1.507162,788,17
GAK,AZD8055,"MTORC1, MTORC2",-1.403476,231,17
A4-Fuk,AZD8055,"MTORC1, MTORC2",-1.211544,22,17
A3-KAW,AZD8055,"MTORC1, MTORC2",-2.187919,19,17
DOK,AZD8055,"MTORC1, MTORC2",-1.495974,169,17
COR-L279,AZD8055,"MTORC1, MTORC2",-1.043392,123,17
CAS-1,AZD8055,"MTORC1, MTORC2",-0.742472,94,17
OCI-AML2,AZD8055,"MTORC1, MTORC2",-1.89564,681,17
MFM-223,AZD8055,"MTORC1, MTORC2",-0.567967,487,17
CML-T1,AZD8055,"MTORC1, MTORC2",-1.002692,108,17
CAL-54,AZD8055,"MTORC1, MTORC2",-1.466518,86,17
22RV1,AZD8055,"MTORC1, MTORC2",-1.453428,0,17
B-CPAP,AZD8055,"MTORC1, MTORC2",-0.159486,42,17
BPH-1,AZD8055,"MTORC1, MTORC2",-0.781923,62,17
CAL-148,AZD8055,"MTORC1, MTORC2",-2.051496,80,17
CAL-39,AZD8055,"MTORC1, MTORC2",-1.348821,84,17
CaR-1,AZD8055,"MTORC1, MTORC2",-0.493313,140,17
HDLM-2,AZD8055,"MTORC1, MTORC2",-0.727934,277,17
HO-1-N-1,AZD8055,"MTORC1, MTORC2",-0.800321,286,17
KGN,AZD8055,"MTORC1, MTORC2",-1.882424,378,17
KLE,AZD8055,"MTORC1, MTORC2",-0.181009,380,17
K5,AZD8055,"MTORC1, MTORC2",-2.005731,364,17
L-363,AZD8055,"MTORC1, MTORC2",-1.774208,421,17
MDA-MB-415,AZD8055,"MTORC1, MTORC2",-1.169375,472,17
NCI-H1975,AZD8055,"MTORC1, MTORC2",-1.013645,581,17
MFH-ino,AZD8055,"MTORC1, MTORC2",-1.19511,486,17
NOS-1,AZD8055,"MTORC1, MTORC2",-0.36754,670,17
PANC-10-05,AZD8055,"MTORC1, MTORC2",0.16222,724,17
RL95-2,AZD8055,"MTORC1, MTORC2",-0.456966,765,17
RO82-W-1,AZD8055,"MTORC1, MTORC2",-0.937187,767,17
SKG-IIIa,AZD8055,"MTORC1, MTORC2",-0.781283,829,17
TT,AZD8055,"MTORC1, MTORC2",0.480029,925,17
TE-6,AZD8055,"MTORC1, MTORC2",-1.582966,912,17
D-263MG,AZD8055,"MTORC1, MTORC2",-0.377064,148,17
D-392MG,AZD8055,"MTORC1, MTORC2",0.00373,151,17
CAMA-1,AZD8055,"MTORC1, MTORC2",-1.008729,91,17
BT-483,AZD8055,"MTORC1, MTORC2",0.744295,65,17
M059J,AZD8055,"MTORC1, MTORC2",-0.742874,462,17
HAL-01,AZD8055,"MTORC1, MTORC2",-1.170306,248,17
ES8,AZD8055,"MTORC1, MTORC2",-2.332397,202,17
ES6,AZD8055,"MTORC1, MTORC2",-0.027161,200,17
ES1,AZD8055,"MTORC1, MTORC2",-2.060863,197,17
EW-7,AZD8055,"MTORC1, MTORC2",-2.734334,217,17
EW-3,AZD8055,"MTORC1, MTORC2",-0.775326,216,17
EW-1,AZD8055,"MTORC1, MTORC2",-1.706419,208,17
EW-16,AZD8055,"MTORC1, MTORC2",-0.446237,212,17
EW-22,AZD8055,"MTORC1, MTORC2",-1.310876,214,17
EW-24,AZD8055,"MTORC1, MTORC2",-0.279299,215,17
NB7,AZD8055,"MTORC1, MTORC2",-0.922023,539,17
NB14,AZD8055,"MTORC1, MTORC2",-1.630116,533,17
LS-180,AZD8055,"MTORC1, MTORC2",-0.422811,451,17
ES-2,AZD8055,"MTORC1, MTORC2",-0.31326,196,17
NCI-H2731,AZD8055,"MTORC1, MTORC2",-0.910129,618,17
HCC-44,AZD8055,"MTORC1, MTORC2",-1.353072,254,17
HCC-827,AZD8055,"MTORC1, MTORC2",0.209092,256,17
Hs-633T,AZD8055,"MTORC1, MTORC2",-1.508348,312,17
IGR-37,AZD8055,"MTORC1, MTORC2",-1.171104,327,17
IHH-4,AZD8055,"MTORC1, MTORC2",-1.320555,329,17
IM-95,AZD8055,"MTORC1, MTORC2",-0.963098,331,17
JHH-2,AZD8055,"MTORC1, MTORC2",-2.062209,343,17
JHH-4,AZD8055,"MTORC1, MTORC2",-0.689322,344,17
JHH-6,AZD8055,"MTORC1, MTORC2",-0.569663,345,17
JHU-022,AZD8055,"MTORC1, MTORC2",-0.205336,351,17
KYM-1,AZD8055,"MTORC1, MTORC2",-1.299697,408,17
LNZTA3WT4,AZD8055,"MTORC1, MTORC2",-0.85783,444,17
MDST8,AZD8055,"MTORC1, MTORC2",-1.782341,476,17
NCI-H1944,AZD8055,"MTORC1, MTORC2",-1.19575,578,17
NCI-H2023,AZD8055,"MTORC1, MTORC2",-1.349188,584,17
NCI-H211,AZD8055,"MTORC1, MTORC2",-0.383307,593,17
NCI-H3122,AZD8055,"MTORC1, MTORC2",-1.301591,629,17
NCI-H847,AZD8055,"MTORC1, MTORC2",-1.075019,661,17
OVMIU,AZD8055,"MTORC1, MTORC2",0.129051,711,17
RH-41,AZD8055,"MTORC1, MTORC2",-2.670966,761,17
SKN,AZD8055,"MTORC1, MTORC2",-0.681097,831,17
SNU-398,AZD8055,"MTORC1, MTORC2",-1.38567,843,17
SUIT-2,AZD8055,"MTORC1, MTORC2",-0.043845,864,17
TC-71,AZD8055,"MTORC1, MTORC2",-1.16223,901,17
TOV-21G,AZD8055,"MTORC1, MTORC2",-0.459029,924,17
OCI-AML3,AZD8055,"MTORC1, MTORC2",-0.987401,682,17
BICR10,AZD8055,"MTORC1, MTORC2",-0.949131,56,17
CAL-29,AZD8055,"MTORC1, MTORC2",-1.501361,82,17
CS1,AZD8055,"MTORC1, MTORC2",-0.108716,134,17
DAN-G,AZD8055,"MTORC1, MTORC2",-2.330807,156,17
EFM-192A,AZD8055,"MTORC1, MTORC2",-0.537137,186,17
FU97,AZD8055,"MTORC1, MTORC2",-0.26999,223,17
NCI-H2373,AZD8055,"MTORC1, MTORC2",-1.176723,610,17
NCI-H2461,AZD8055,"MTORC1, MTORC2",-0.605109,613,17
NCI-H2795,AZD8055,"MTORC1, MTORC2",-0.780831,619,17
NCI-H2818,AZD8055,"MTORC1, MTORC2",-0.104801,624,17
HCC-78,AZD8055,"MTORC1, MTORC2",-0.579751,255,17
AMO-1,AZD8055,"MTORC1, MTORC2",-1.595324,35,17
Hs-766T,AZD8055,"MTORC1, MTORC2",-1.381516,315,17
huH-1,AZD8055,"MTORC1, MTORC2",-0.303737,965,17
JIMT-1,AZD8055,"MTORC1, MTORC2",-0.482424,353,17
KP-1N,AZD8055,"MTORC1, MTORC2",-0.138235,395,17
NCI-H1781,AZD8055,"MTORC1, MTORC2",-0.479452,570,17
OCUM-1,AZD8055,"MTORC1, MTORC2",-0.035471,688,17
OE21,AZD8055,"MTORC1, MTORC2",-0.70343,690,17
OVTOKO,AZD8055,"MTORC1, MTORC2",-1.282569,712,17
PANC-04-03,AZD8055,"MTORC1, MTORC2",-0.275571,722,17
PA-TU-8902,AZD8055,"MTORC1, MTORC2",-0.350802,718,17
PL4,AZD8055,"MTORC1, MTORC2",-0.411308,737,17
RERF-LC-Sq1,AZD8055,"MTORC1, MTORC2",-1.40451,757,17
TOV-112D,AZD8055,"MTORC1, MTORC2",-0.738191,923,17
WM1552C,AZD8055,"MTORC1, MTORC2",-0.975265,953,17
WM793B,AZD8055,"MTORC1, MTORC2",-1.005553,956,17
GA-10,AZD8055,"MTORC1, MTORC2",-1.635292,230,17
CHSA8926,AZD8055,"MTORC1, MTORC2",-1.41631,106,17
HSC-39,AZD8055,"MTORC1, MTORC2",-0.909213,295,17
JSC-1,AZD8055,"MTORC1, MTORC2",-1.072004,356,17
JURL-MK1,AZD8055,"MTORC1, MTORC2",-1.670129,357,17
KARPAS-1106P,AZD8055,"MTORC1, MTORC2",-1.126753,366,17
KARPAS-620,AZD8055,"MTORC1, MTORC2",-0.897843,371,17
KCL-22,AZD8055,"MTORC1, MTORC2",-1.500051,374,17
ME-1,AZD8055,"MTORC1, MTORC2",-0.523865,477,17
MOLM-13,AZD8055,"MTORC1, MTORC2",-2.19947,507,17
MOLP-8,AZD8055,"MTORC1, MTORC2",-2.177017,509,17
NCI-H1341,AZD8055,"MTORC1, MTORC2",-0.434157,548,17
NCI-H2066,AZD8055,"MTORC1, MTORC2",0.495654,588,17
OCI-M1,AZD8055,"MTORC1, MTORC2",-1.148006,686,17
P32-ISH,AZD8055,"MTORC1, MTORC2",-2.139482,716,17
PWR-1E,AZD8055,"MTORC1, MTORC2",-0.690825,739,17
RC-K8,AZD8055,"MTORC1, MTORC2",-0.958564,742,17
SU-DHL-10,AZD8055,"MTORC1, MTORC2",-2.155866,857,17
SU-DHL-5,AZD8055,"MTORC1, MTORC2",-2.096862,860,17
SU-DHL-6,AZD8055,"MTORC1, MTORC2",-2.405613,861,17
SU-DHL-8,AZD8055,"MTORC1, MTORC2",-0.689971,862,17
SUP-HD1,AZD8055,"MTORC1, MTORC2",-0.01919,867,17
SUP-M2,AZD8055,"MTORC1, MTORC2",-2.005618,868,17
VAL,AZD8055,"MTORC1, MTORC2",-0.904339,945,17
WIL2-NS,AZD8055,"MTORC1, MTORC2",-2.093742,951,17
WSU-DLCL2,AZD8055,"MTORC1, MTORC2",-2.577193,957,17
DOV13,AZD8055,"MTORC1, MTORC2",-1.496985,170,17
Hey,AZD8055,"MTORC1, MTORC2",-0.023572,309,17
OV-56,AZD8055,"MTORC1, MTORC2",-1.13087,699,17
OVCA420,AZD8055,"MTORC1, MTORC2",-0.604766,702,17
OACp4C,AZD8055,"MTORC1, MTORC2",-0.457723,677,17
OACM5-1,AZD8055,"MTORC1, MTORC2",-1.518571,676,17
SK-GT-2,AZD8055,"MTORC1, MTORC2",-0.859764,806,17
SK-GT-4,AZD8055,"MTORC1, MTORC2",0.252671,807,17
EMC-BAC-2,AZD8055,"MTORC1, MTORC2",-0.680689,193,17
RCC-JW,AZD8055,"MTORC1, MTORC2",-1.053787,747,17
MM1S,AZD8055,"MTORC1, MTORC2",-1.747812,502,17
SNU-407,AZD8055,"MTORC1, MTORC2",-0.549561,844,17
DiFi,AZD8055,"MTORC1, MTORC2",-1.369376,177,17
COLO-829,PD0325901,"MEK1, MEK2",-1.961545,120,104
NCI-H1437,PD0325901,"MEK1, MEK2",-1.30697,552,104
NCI-H2405,PD0325901,"MEK1, MEK2",0.306534,611,104
SK-N-FI,PD0325901,"MEK1, MEK2",-0.609483,824,104
NCI-H2122,PD0325901,"MEK1, MEK2",-2.674788,595,104
NCI-H929,PD0325901,"MEK1, MEK2",-1.190085,662,104
SK-N-AS,PD0325901,"MEK1, MEK2",-1.280367,822,104
NCI-H2087,PD0325901,"MEK1, MEK2",-0.43809,591,104
NCI-H727,PD0325901,"MEK1, MEK2",-2.381501,652,104
Calu-6,PD0325901,"MEK1, MEK2",-1.438707,142,104
LU-65,PD0325901,"MEK1, MEK2",-2.455582,458,104
HPAF-II,PD0325901,"MEK1, MEK2",-0.698296,292,104
MIA-PaCa-2,PD0325901,"MEK1, MEK2",-1.010941,494,104
NCI-H2291,PD0325901,"MEK1, MEK2",-2.717417,605,104
BB30-HNC,PD0325901,"MEK1, MEK2",-1.778368,44,104
EBC-1,PD0325901,"MEK1, MEK2",-2.758609,181,104
KOSC-2,PD0325901,"MEK1, MEK2",-0.093484,394,104
LB373-MEL-D,PD0325901,"MEK1, MEK2",-0.693313,429,104
NCI-H292,PD0325901,"MEK1, MEK2",-1.532902,627,104
U-266,PD0325901,"MEK1, MEK2",-1.447752,931,104
BE2-M17,PD0325901,"MEK1, MEK2",-0.91357,50,104
HCT-116,PD0325901,"MEK1, MEK2",-1.489218,275,104
HT-29,PD0325901,"MEK1, MEK2",-2.435587,303,104
NCI-H460,PD0325901,"MEK1, MEK2",-1.377932,635,104
A549,PD0325901,"MEK1, MEK2",-1.958055,26,104
SK-MEL-2,PD0325901,"MEK1, MEK2",-1.46409,812,104
SK-MEL-5,PD0325901,"MEK1, MEK2",-1.116862,818,104
SW620,PD0325901,"MEK1, MEK2",-2.612885,882,104
NCI-H322M,PD0325901,"MEK1, MEK2",-1.779523,630,104
IGROV-1,PD0325901,"MEK1, MEK2",-1.712715,328,104
OVCAR-5,PD0325901,"MEK1, MEK2",-1.128988,706,104
HCC2998,PD0325901,"MEK1, MEK2",-2.880481,271,104
LOXIMVI,PD0325901,"MEK1, MEK2",-1.568982,447,104
UACC-257,PD0325901,"MEK1, MEK2",-2.754955,937,104
U031,PD0325901,"MEK1, MEK2",-0.681424,935,104
KM12,PD0325901,"MEK1, MEK2",-1.4881,382,104
BHT-101,PD0325901,"MEK1, MEK2",-2.897952,54,104
AGS,PD0325901,"MEK1, MEK2",-2.896139,31,104
COLO-792,PD0325901,"MEK1, MEK2",-0.847109,117,104
EM-2,PD0325901,"MEK1, MEK2",-1.439864,191,104
EoL-1-cell,PD0325901,"MEK1, MEK2",-2.649958,218,104
G-361,PD0325901,"MEK1, MEK2",-2.523562,226,104
GCIY,PD0325901,"MEK1, MEK2",-0.193387,234,104
HMV-II,PD0325901,"MEK1, MEK2",-2.622224,285,104
HuCCT1,PD0325901,"MEK1, MEK2",-0.73102,318,104
JVM-3,PD0325901,"MEK1, MEK2",-1.269886,359,104
KASUMI-1,PD0325901,"MEK1, MEK2",-1.796985,372,104
